vuosi,kuukausi_nro,etuus,saajat_yhteensa,saajat_laskenta_yhteensa,maksettu_yhteensa,maksettu_laskenta_yhteensa
2018,1,Sairaanhoitokorvaukset,3752772,3752772,411104388.8,411104388.8
2018,1,Sairauspäivärahat,118316,118316,137693549.32,137693549.32
2018,1,Sotilasavustus,8936,8936,2455495.11,2455495.11
2018,1,Takuueläke,201602,201602,35390662,34399728.78
2018,1,Työttömyysturva,457286,457286,358295841.64,358295841.64
2018,1,Vammaisetuudet,526750,526750,93667956.88,84479661.44
2018,1,Vanhempainpäiväraha,101776,101776,155566640.56,155566640.56
2018,1,Vuosilomakustannuskorvaus,4870,4870,7069865.78,7069865.78
2018,1,Yleinen asumistuki,755172,755172,251367864.42,241199207.12
2018,1,Äitiysavustus,5048,5048,852553.83,852553.83
2018,2,Elatustuki,141654,141654,34371283.7,31459152.8
2018,2,Eläke-etuudet (pl. takuueläke),1269378,1269378,360384112.12,355571196.28
2018,2,Eläketuki,6236,6236,5118166.66,4815783.76
2018,2,Eläkkeensaajan asumistuki,408534,408534,98475542.2,93906916.14
2018,2,Erityishoitoraha,1276,1276,850097.26,850097.26
2018,2,Koulumatkatuki,62654,62654,10005188.8,10005188.8
2018,2,Kuntoutus,105718,105718,48688470.68,48688470.68
2018,2,Kuntoutusraha,25124,25124,17966103.3,17966103.3
2018,2,Lapsilisä,1095698,1094542,228686614.36,227452020.3
2018,2,Lastenhoidon tuet,154770,140156,52002159.96,45428688
2018,2,Opintolainahyvitys,6,6,19920,19920
2018,2,Opintolainan korkoavustus,158,158,9708.38,9708.38
2018,2,Opintolainavähennys,14,14,0,0
2018,2,"Opintotuki (opintoraha, asumislisä, lainatakaus)",442462,436574,91595651.7,325770765.56
2018,2,Perhevapaakorvaus,2052,2052,5130000,5130000
2018,2,Perustoimeentulotuki,286548,286548,121104187.02,129133049.9
2018,2,Sairaanhoitokorvaukset,2200084,2200084,223131133.94,223131133.94
2018,2,Sairauspäivärahat,106670,106670,127366409.72,127366409.72
2018,2,Sotilasavustus,8840,8840,2900270.47,2900270.47
2018,2,Takuueläke,202184,202184,35442879,34495946.66
2018,2,Työttömyysturva,440616,440616,320712898.7,320712898.7
2018,2,Vammaisetuudet,528300,528300,92043780.84,84619060.22
2018,2,Vanhempainpäiväraha,92080,92080,143175384.94,143175384.94
2018,2,Vuosilomakustannuskorvaus,3748,3748,5534550.07,5534550.07
2018,2,Yleinen asumistuki,761898,761898,252832289.36,243597720.5
2018,2,Äitiysavustus,7840,7840,1417289.24,1417289.24
2018,3,Elatustuki,142732,142732,34713819.98,31759318.6
2018,3,Eläke-etuudet (pl. takuueläke),1269090,1269090,359801649.26,355724883.68
2018,3,Eläketuki,6210,6210,4841113.62,4795626.74
2018,3,Eläkkeensaajan asumistuki,409522,409522,99684038,94400777.9
2018,3,Erityishoitoraha,1498,1498,972296.38,972296.38
2018,3,Koulumatkatuki,56226,56226,8750895.54,8750895.54
2018,3,Kuntoutus,117112,117112,63947118.8,63947118.8
2018,3,Kuntoutusraha,28472,28472,22504126.68,22504126.68
2018,3,Lapsilisä,1095568,1094196,228884941.62,227395100.26
2018,3,Lastenhoidon tuet,158412,142254,52467547.36,46139378
2018,3,Opintolainahyvitys,74,74,238366.76,238366.76
2018,3,Opintolainan korkoavustus,108,108,6601.52,6601.52
2018,3,Opintolainavähennys,3976,3976,0,0
2018,3,"Opintotuki (opintoraha, asumislisä, lainatakaus)",445242,440608,89949486.52,327808627.78
2018,3,Perhevapaakorvaus,2612,2612,6530000,6530000
2018,3,Perustoimeentulotuki,294864,294864,122366601.08,131084909.6
2018,3,Sairaanhoitokorvaukset,2682612,2682612,246195368.02,246195368.02
2018,3,Sairauspäivärahat,116458,116458,145549665.4,145549665.4
2018,3,Sotilasavustus,8644,8644,2787646.25,2787646.25
2018,3,Takuueläke,202956,202956,35400592,34632943.84
2018,3,Työttömyysturva,450968,450968,350629460.66,350629460.66
2018,3,Vammaisetuudet,528902,528902,92663677.76,84535590.46
2018,3,Vanhempainpäiväraha,97694,97694,157939011.78,157939011.78
2018,3,Vuosilomakustannuskorvaus,4358,4358,6609686.79,6609686.79
2018,3,Yleinen asumistuki,760470,760470,252881217.02,243005275.02
2018,3,Äitiysavustus,3282,3282,617179.08,617179.08
2018,4,Elatustuki,143372,143372,35068060.5,31879897.36
2018,4,Eläke-etuudet (pl. takuueläke),1266416,1266416,358408337,354907982.04
2018,4,Eläkkeensaajan asumistuki,410852,410852,100283630.06,94931717.88
2018,4,Erityishoitoraha,1464,1464,1030435.6,1030435.6
2018,4,Koulumatkatuki,56182,56182,8766375,8766375
2018,4,Kuntoutus,116436,116436,62907553.32,62907553.32
2018,4,Kuntoutusraha,27416,27416,20337806.34,20337806.34
2018,4,Lapsilisä,1094730,1093784,228621159.92,227357169.4
2018,4,Lastenhoidon tuet,160290,145516,53411804.52,47467738
2018,4,Opintolainahyvitys,5726,5726,16912287.74,16912287.74
2018,4,Opintolainavähennys,460,460,0,0
2018,4,"Opintotuki (opintoraha, asumislisä, lainatakaus)",443680,439276,76164507.26,325535572.6
2018,4,Perhevapaakorvaus,2842,2842,7105000,7105000
2018,4,Perustoimeentulotuki,300078,300078,124358308.26,132799775.62
2018,4,Sairaanhoitokorvaukset,3063804,3063804,299130567.32,299130567.32
2018,4,Sairauspäivärahat,123388,123388,146772832.6,146772832.6
2018,4,Sotilasavustus,8036,8036,2573685.56,2573685.56
2018,4,Takuueläke,203204,203204,35557175,34671621.74
2018,4,Työttömyysturva,442466,442466,328830277.74,328830277.74
2018,4,Vammaisetuudet,528322,528322,93133889.62,84286353.44
2018,4,Vanhempainpäiväraha,90216,90216,140556884.7,140556884.7
2018,4,Vuosilomakustannuskorvaus,3998,3998,5974917.14,5974917.14
2018,4,Yleinen asumistuki,760622,760622,252415598.14,242982343.72
2018,4,Äitiysavustus,6080,6080,1116792.55,1116792.55
2018,5,Elatustuki,144756,144756,34818987.9,32255843.36
2018,5,Eläke-etuudet (pl. takuueläke),1264074,1264074,359148192.1,354209705.56
2018,5,Eläketuki,6056,6056,4713277.02,4677880
2018,5,Eläkkeensaajan asumistuki,412832,412832,99747965.88,95566669.52
2018,5,Erityishoitoraha,1452,1452,1008817.52,1008817.52
2018,5,Koulumatkatuki,53042,53042,8207861.38,8207861.38
2018,5,Kuntoutus,122240,122240,65498963.58,65498963.58
2018,5,Kuntoutusraha,30140,30140,24061641.16,24061641.16
2018,5,Lapsilisä,1093916,1092870,228256850.48,227173405.02
2018,5,Lastenhoidon tuet,163158,147990,54405110.82,48536148
2018,5,Opintolainahyvitys,70,70,226256.38,226256.38
2018,5,Opintolainavähennys,88,88,0,0
2018,5,"Opintotuki (opintoraha, asumislisä, lainatakaus)",434828,431932,74035463.9,317505079.32
2018,5,Perhevapaakorvaus,3108,3108,7770000,7770000
2018,5,Perustoimeentulotuki,300120,300120,125223587.68,133844185.68
2018,5,Sairaanhoitokorvaukset,3286262,3286262,303326345,303326345
2018,5,Sairauspäivärahat,126838,126838,151251659.5,151251659.5
2018,5,Sotilasavustus,7884,7884,2525911.02,2525911.02
2018,5,Takuueläke,203980,203980,35771717,34820709.62
2018,5,Työttömyysturva,444196,444196,348488129.48,348488129.48
2018,5,Vammaisetuudet,528856,528856,94100091.72,84182402.34
2018,5,Vanhempainpäiväraha,93810,93810,148102655.28,148102655.28
2018,5,Vuosilomakustannuskorvaus,4532,4532,6652850.35,6652850.35
2018,5,Yleinen asumistuki,756256,756256,249509299.36,241664332.22
2018,5,Äitiysavustus,13000,13000,2711691.37,2711691.37
2018,6,Elatustuki,142636,142636,33927686.4,31784927.7
2018,6,Eläke-etuudet (pl. takuueläke),1260636,1260636,357241287.86,352985055.58
2018,6,Eläketuki,5970,5970,4615263.96,4611206.78
2018,6,Eläkkeensaajan asumistuki,411988,411988,99687545.9,95422789.8
2018,6,Erityishoitoraha,1316,1316,834766.34,834766.34
2018,6,Koulumatkatuki,23796,23796,4030471.74,4030471.74
2018,6,Kuntoutus,116634,116634,65470493.9,65470493.9
2018,6,Kuntoutusraha,27992,27992,19787377.18,19787377.18
2018,6,Lapsilisä,1092858,1091768,228077918.76,226982961.88
2018,6,Lastenhoidon tuet,162276,140348,54745411.52,48030375
2018,6,Opintolainahyvitys,42,42,165792,165792
2018,6,Opintolainan korkoavustus,516,516,31188.4,31188.4
2018,6,Opintolainavähennys,46,46,0,0
2018,6,"Opintotuki (opintoraha, asumislisä, lainatakaus)",70036,67178,8468446.86,55636272.44
2018,6,Perhevapaakorvaus,2736,2736,6840000,6840000
2018,6,Perustoimeentulotuki,316638,316638,136855592.48,144752725.8
2018,6,Sairaanhoitokorvaukset,3487790,3487790,321206155.88,321206155.88
2018,6,Sairauspäivärahat,113284,113284,134427402.44,134427402.44
2018,6,Sotilasavustus,7912,7912,2503590.68,2503590.68
2018,6,Takuueläke,203776,203776,35510850,34781418
2018,6,Työttömyysturva,427384,427384,310045474.34,310045474.34
2018,6,Vammaisetuudet,526128,526128,92446834.38,83844325.1
2018,6,Vanhempainpäiväraha,94926,94926,148781644.26,148781644.26
2018,6,Vuosilomakustannuskorvaus,4240,4240,6509752.39,6509752.39
2018,6,Yleinen asumistuki,735852,735852,243981703.42,235589572.3
2018,6,Äitiysavustus,10796,10796,2298330.46,2298330.46
2018,7,Elatustuki,142904,142904,34171499.38,31846082.1
2018,7,Eläke-etuudet (pl. takuueläke),1258536,1258536,355849090.74,352597977.06
2018,7,Eläketuki,5880,5880,4550782.08,4538807.64
2018,7,Eläkkeensaajan asumistuki,412344,412344,99270237.28,95590012.54
2018,7,Erityishoitoraha,1036,1036,797178.54,797178.54
2018,7,Koulumatkatuki,1512,1512,181877.66,181877.66
2018,7,Kuntoutus,105730,105730,51549337.4,51549337.4
2018,7,Kuntoutusraha,21596,21596,17250843.36,17250843.36
2018,7,Lapsilisä,1091772,1090806,227763570.04,226728922.68
2018,7,Lastenhoidon tuet,155784,137540,54095473.5,47756567
2018,7,Opintolainahyvitys,12,12,33624,33624
2018,7,Opintolainan korkoavustus,208,208,12282.26,12282.26
2018,7,Opintolainavähennys,20,20,0,0
2018,7,"Opintotuki (opintoraha, asumislisä, lainatakaus)",48142,47200,5982865.34,41517117.22
2018,7,Perhevapaakorvaus,2992,2992,7475000,7475000
2018,7,Perustoimeentulotuki,309724,309724,135107713.06,143185522.7
2018,7,Sairaanhoitokorvaukset,3307316,3307316,295314455.7,295314455.7
2018,7,Sairauspäivärahat,99790,99790,123302898.92,123302898.92
2018,7,Sotilasavustus,7926,7926,2010093.44,2010093.44
2018,7,Takuueläke,204136,204136,35552525,34823039.16
2018,7,Työttömyysturva,427636,427636,307539519.48,307539519.48
2018,7,Vammaisetuudet,526396,526396,91382499.98,83819393.8
2018,7,Vanhempainpäiväraha,99886,99886,165891420.72,165891420.72
2018,7,Vuosilomakustannuskorvaus,5008,5008,7066177.63,7066177.63
2018,7,Yleinen asumistuki,711874,711874,237614804.9,227982632.5
2018,7,Äitiysavustus,7912,7912,1653760.7,1653760.7
2018,8,Elatustuki,143422,143422,34532637.1,32000503.36
2018,8,Eläke-etuudet (pl. takuueläke),1258048,1258048,356229779.44,352289632.5
2018,8,Eläketuki,5794,5794,4491439.32,4474699.92
